tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt20159188,movie,Elektra,Elektra,0,2023,\N,78,Drama,8.1,61
tt20771172,movie,Everybody's Oma,Everybody's Oma,0,2022,\N,93,Documentary,8.1,68
tt19799096,movie,The Cathedral,The Cathedral,0,2022,\N,87,Documentary,8.1,75
tt16106010,movie,Enemies Within the Church,Enemies Within the Church,0,2021,\N,132,Documentary,8.1,77
tt15333960,movie,Chinnanjiru Kiliye,Chinnanjiru Kiliye,0,2021,\N,128,Drama,8.1,71
tt17499738,movie,"Love, Tom","Love, Tom",0,2022,\N,56,Documentary,8.1,58
tt14317220,movie,I'm Wanita,I'm Wanita,0,2021,\N,88,Documentary,8.1,63
tt21380204,movie,Ágnes Keleti - Conquering time,Keleti Ágnes - Aki legyozte az idot,0,2022,\N,78,Documentary,8.1,59
tt14571578,movie,He's My Brother,He's My Brother,0,2021,\N,75,Documentary,8.1,51
tt21350908,movie,Two Kids a Day,Two Kids a Day,0,2022,\N,70,Documentary,8.1,57
tt20517442,movie,Red Herring,Red Herring,0,2023,\N,94,Documentary,8.1,65
tt15576032,movie,The Gift of Grace,The Gift of Grace,0,2021,\N,120,Drama,8.1,54
tt14338852,movie,Because We're Done,Because We're Done,0,2022,\N,97,Comedy,8.1,63
tt14933968,movie,100 Years from Mississippi,100 Years from Mississippi,0,2021,\N,60,Documentary,8.1,50
tt21615386,movie,Sex with Sue,Sex with Sue,0,2022,\N,90,Documentary,8.1,80
tt27448589,movie,Aathvani,Aathvani,0,2023,\N,124,Drama,8.1,82
tt26345202,movie,Rachel's Farm,Rachel's Farm,0,2023,\N,84,Documentary,8.1,87
tt21998498,movie,Maya and the Wave,Maya and the Wave,0,2022,\N,95,Documentary,8.1,77
tt24133094,movie,Phoenix. Har/Jar,Phoenix. Har/Jar,0,2022,\N,\N,Documentary,8.1,52
tt27904656,movie,The Body Politic,The Body Politic,0,2023,\N,90,Documentary,8.1,59
tt26345827,movie,My Little Nighttime Secret,Odin malenkiy nochnoy sekret,0,2023,\N,90,Drama,8.1,66
tt29363171,movie,A Wu-Tang Experience: Live at Red Rocks Amphitheatre,A Wu-Tang Experience: Live at Red Rocks Amphitheatre,0,2023,\N,87,Documentary,8.1,58
tt22660470,movie,The Letter: A Message for Our Earth,The Letter: A Message for Our Earth,0,2022,\N,81,Documentary,8.1,52
tt27430566,movie,Andor,Andor,0,2022,\N,75,Documentary,8.1,56
tt26754808,movie,Baap Manus,Baap Manus,0,2023,\N,105,Drama,8.1,72
tt30745869,movie,One Star,One Star,0,2023,\N,50,Documentary,8.1,55
tt21989164,movie,American: An Odyssey to 1947,American: An Odyssey to 1947,0,2022,\N,102,Documentary,8.1,88
tt25624784,tvMovie,Kajoler Dinratri,Kajoler Dinratri,0,2023,\N,67,Drama,8.1,61
tt5123942,movie,River's End: California's Latest Water War,River's End: California's Latest Water War,0,2021,\N,81,Documentary,8.1,74
tt9342916,movie,Sita on the Road,Sita on the Road,0,2021,\N,115,Drama,8.1,86
tt5918432,movie,Ferguson Rises,Ferguson Rises,0,2021,\N,82,Documentary,8.1,62
tt13027206,movie,Don't Waste Your Pretty,Don't Waste Your Pretty,0,2021,\N,89,Drama,8.0,89
tt13052092,movie,When Claude Got Shot,When Claude Got Shot,0,2021,\N,96,Documentary,8.0,52
tt12246716,movie,A Christmas Prayer,A Christmas Prayer,0,2022,\N,\N,Drama,8.0,62
tt20227356,movie,Ranger,Ranger,0,2022,\N,115,Documentary,8.0,56
tt21193152,movie,Who Is Stan Smith?,Who Is Stan Smith?,0,2022,\N,95,Documentary,8.0,73
tt16964818,movie,Um Corpo que Dança - Ballet Gulbenkian 1965-2005,Um Corpo que Dança - Ballet Gulbenkian 1965-2005,0,2022,\N,127,Documentary,8.0,64
tt16436646,movie,Bereményi kalapja,Bereményi kalapja,0,2022,\N,82,Documentary,8.0,51
tt17371686,movie,Split at the Root,Split at the Root,0,2022,\N,96,Documentary,8.0,57
tt16116606,movie,El Brujo,El Brujo,0,2022,\N,90,Comedy,8.0,62
tt19888864,movie,10 Billion Mouths,10 Billion Mouths,0,2022,\N,64,Documentary,8.0,50
tt14728942,movie,Moral Nights,Vishudha Rathrikal,0,2021,\N,93,Drama,8.0,54
tt14714354,movie,"Show Business Is My Life, But I Can't Prove It","Show Business Is My Life, But I Can't Prove It",0,2022,\N,96,Documentary,8.0,72
